original_feature,importance
total,0.7249012462583772
year,0.10386299217452775
residential,0.08315215324101757
ceiling,0.02669724761173321
district,0.01242294915150031
floor,0.010410153350303493
rooms,0.008941591626792613
kitchen,0.0057544072500273985
security,0.005142854255542931
building,0.004993210232428011
condition,0.0037332940617781146
bathroom,0.003661896853034559
balcony,0.0031821140518850993
flooring,0.0018376528038561333
furniture,0.001153368049249836
parking,0.0001528690279458022
